"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1025641026","4.1308814241","4.1629267387","4.1994881097","4.2415925576","4.2906040592","4.3490821231","4.4190608054","4.4239724641","4.4207371463","4.4235695986","4.4216483905","4.8891250443","5.9409990822","7.2539425203","8.9389197375","7.7973748975","7.8952737164","4.1766796412","6.0325231684","3.3455657492","3.4339622642","4.2648083624","4.7899778924","4.0488656195","6.5747613998","3.7074486013","","","",
"American Samoa","ASM","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","20.1530612245","20.293398533","20.4225352113","20.5417607223","20.652173913","20.7547169811","20.8502024291","20.939334638","21.0227272727","21.1009174312","20.9507042254","21.2435233161","21.3087248322","21.3703099511","21.4285714286","21.4862681745","21.5384615385","21.5859030837","21.6292134831","21.668909825","21.7054263566","21.7391304348","21.7391304348","21.7391304348","21.7391304348","21.7391304348","21.7391304348","21.7391304348","21.7391304348","21.7391304348","21.7391304348","","","",
"Australia","AUS","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.2626728111","10.7472902233","11.2670835084","11.8260267474","12.4287160902","13.666150194","15.0808884014","16.7139786358","18.6201991465","18.8222384784","20.4409118176","16.7800736625","12.7557220984","14.2864806867","15.9723023658","20.9249042803","15.5930544313","16.4870615349","17.4744897959","20.6896551724","18.1378476421","","","",
"Austria","AUT","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","80.6055891329","79.3398864803","78.1091806217","76.9120398535","75.7471095157","74.6131068775","75.613887004","76.5898788249","77.5419920456","78.4710923959","79.3780042552","78.9452549859","78.4955921286","78.0280043426","77.5413980174","77.0345887333","77.736423617","78.4007025054","78.722065702","79.041361071","79.0575516499","79.0740062254","79.0907313076","79.1715724719","79.2538987206","79.3377513553","79.4231732235","79.5102087919","79.5989042229","78.0868455063","76.5828684057","75.9417968133","75.2894861039","74.6256381013","73.9499439878","73.2620838248","72.5617260482","71.8485269347","71.1221300401","70.3821656051","70.3821656051","70.3821656051","","","",
"Azerbaijan","AZE","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.2868781632","24.6365105008","20.141062617","20.1767072874","21.9377748722","23.2061947115","31.0689476615","36.3719919786","5.2047315742","6.1876448655","5.6558120778","6.588705077","6.3982102908","6.686440678","7.1063899868","6.057095573","5.6548135299","4.0035906643","4.4484958979","4.6830736544","5.2776617954","5.4277138569","5.7971014493","4.9704850714","5.4049503283","4.6452145215","4.167009123","4.5035742653","4.6378236644","4.6113510179","","","",
"Burundi","BDI","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1.1424731183","2.0286396181","2.7360515021","3.3138401559","3.7946428571","4.2009884679","4.5489296636","4.85021398","5.1136363636","5.3459119497","5.5522565321","5.7367829021","5.9027777778","5.7956846589","5.6874034546","5.5779142837","5.4671968191","5.3552302749","5.3552302749","5.3552302749","5.3552302749","5.3552302749","5.3552302749","5.3552302749","5.3552302749","5.3552302749","5.3552302749","5.3552302749","5.3552302749","5.3552302749","5.3552302749","5.3552302749","5.3552302749","5.3552302749","","","",
"Belgium","BEL","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","85.0008305188","85.3709697419","85.7454179914","86.1242509538","86.5075460991","86.8953827327","87.2878420506","87.6850071961","88.0869633183","88.493797633","88.9055994861","89.3224604186","89.7444742345","90.1717370714","90.6043474735","91.042406467","89.7805044821","88.4265279584","88.8128611077","89.2044356185","89.6013588832","89.0875462392","88.5129118433","88.2878439386","88.1130421858","87.8807801885","87.7712109793","87.6586299519","87.9126293316","87.5708097301","86.7454994705","85.8161350844","84.7617140569","83.4476843911","82.3515769944","80.3705558338","80.9822288371","79.0058351957","81.0246998494","80.6392582652","82.1270243373","82.1270243373","","","",
"Benin","BEN","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","13.6363636364","13.8807237573","14.105403937","14.3126895804","14.5045254119","14.6825766757","14.8461400036","14.9986957656","15.1413189771","15.2749490835","16.240333135","17.2497718284","18.3063511831","19.413452343","20.5747877204","21.7944425845","23.0769230769","21.6271884655","20.3488372093","19.2131747484","18.1975736568","17.2839506173","16.4576802508","15.7068062827","15.0214592275","14.3934201508","13.8157894737","13.2827324478","12.7892813642","12.3311802701","11.9047619048","12.5523012552","12.8205128205","12.8205128205","12.8205128205","12.8205128205","12.8205128205","","","",
"Burkina Faso","BFA","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0.2530079838","0.4825219816","0.6916692284","0.8830455259","1.0588235294","1.2208355941","1.850783489","2.2914162819","2.3391653988","2.4239380402","2.504246667","2.5804348371","2.6528117359","2.6528117359","2.6528117359","2.6528117359","2.6528117359","2.6528117359","2.6528117359","2.6528117359","2.6528117359","2.6528117359","2.6528117359","2.6528117359","2.6528117359","2.6528117359","2.6528117359","2.6528117359","2.6528117359","","","",
"Bangladesh","BGD","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1466406468","2.1466406468","2.1466406468","2.1466406468","2.1466406468","2.1466406468","2.1466406468","2.1466406468","2.1466406468","2.1466406468","2.1466406468","2.1466406468","2.1466406468","2.1466406468","","","",
"Bulgaria","BGR","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.643915876","63.4428598186","63.2336212153","63.0156901725","62.7885135327","62.5514901866","62.3039657615","62.0452265889","61.7744928317","61.4909106345","61.1935431273","66.4643763286","72.4844437699","68.6597599389","70.5656547953","70.5815171847","70.5977780133","72.4844437699","68.2634552692","68.8748309242","68.3927043308","68.9887394089","66.7891513561","67.6847110461","69.9802820045","69.2969055317","68.3378441703","69.264757865","70.7096774194","69.2733308742","68.5444159937","70.0342121151","","","",
"Bahrain","BHR","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1841004184","4.3213108695","4.447200567","4.5631150563","4.6701947733","4.7694126922","4.8616039744","4.9474895346","5.0276949297","5.1027656211","5.1731793961","5.3456079448","5.5144820388","5.6799104645","5.5538899715","5.4322745348","5.3148371532","5.2013661591","5.0916639455","4.9855458175","4.8828389544","4.7833814708","4.6870215651","4.5936167463","4.5030331311","3.3310039599","3.2458563536","3.2458563536","3.2458563536","3.2458563536","3.2458563536","3.2458563536","","","",
"Bahamas, The","BHS","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.3333333333","32.6381059752","31.9221967963","31.1846689895","30.4245283019","29.6407185629","29.511817981","29.3791325787","29.2424931756","29.1017203556","28.9566236811","29.4254658385","29.9123447772","30.4183217478","30.9445429223","31.492248062","31.5184381779","31.545412498","31.571994716","20.305537874","21.2163096061","31.5426997245","31.7108088762","31.7757009346","32.2533136966","31.0007524454","30.1754385965","","","",
"Belize","BLZ","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","7.0629390044","12.4589842793","16.7159471713","20.1600760758","23.0038882358","25.3917556642","23.6810759981","22.5420574944","22.0706339606","21.707458355","21.4190866578","21.1845655308","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","20.9900990099","","","",
"Bermuda","BMU","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","4.666375164","4.3619334337","4.0830061694","3.8265149185","3.5898573224","3.3708185053","3.167501544","2.97827239","2.8017158589","2.6366001735","2.4818481848","2.3365138469","2.249341825","2.1634945938","2.0789421808","1.9956555111","1.9136063737","1.8327673898","1.7531119823","1.6746143467","1.5978753048","1.5325670498","1.524080636","1.5156876897","1.5073866752","1.4991760903","1.4910544653","1.4830203623","1.475072374","1.4672091232","1.4594292621","1.4517314711","1.4485262355","1.4513063367","","","",
"Brazil","BRA","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.1155458356","18.0467475992","17.9787425689","17.9115171055","17.8450578807","17.7793518682","17.7143863356","17.6501488356","17.5866271983","17.5238095238","17.4616841743","17.3225184709","17.2009029345","17.0937146093","16.9985300013","17.8260569218","18.7115687116","19.66138115","20.6827618022","20.1857274848","17.2975418489","14.480816078","13.2781954887","13.0486358244","14.1517857143","14.5297875501","","","",
"Barbados","BRB","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","","","",
"Brunei Darussalam","BRN","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8875739645","0.8875739645","0.8875739645","0.8875739645","0.8875739645","0.8875739645","0.8875739645","0.8875739645","0.8875739645","0.8875739645","0.8875739645","0.8875739645","0.8875739645","0.8875739645","","","",
"Botswana","BWA","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.3539823009","19.8971304819","19.5097548774","19.1771269177","18.8900468994","18.6384747006","18.4162062615","18.2184033065","18.0412371134","18.2530701592","18.4605780177","18.6638918172","18.8631374384","19.0584357741","18.6410057334","18.2188119407","17.7917723813","17.3598031472","16.9228183818","16.4807302231","18.6824498199","17.5562532705","16.3916977115","16.560170394","11.9225037258","12.1243523316","13.3333333333","13.9610871825","13.4994891747","11.7927074349","","","",
"Central African Republic","CAF","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.618556701","19.7324414716","19.0861769809","18.5939887927","18.2066454256","17.893870835","17.6360225141","17.419799931","17.235876157","17.0775170775","16.9397389614","16.8187744459","16.711722782","16.6163141994","16.6024310703","16.5890570431","16.5761646185","16.5637282426","16.5517241379","16.5517241379","16.5517241379","16.5517241379","16.5517241379","16.5517241379","16.5517241379","16.5517241379","16.5517241379","16.5517241379","16.5517241379","16.5517241379","16.5517241379","16.5517241379","16.5517241379","16.5517241379","16.5517241379","","","",
"Canada","CAN","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.8350076509","79.4790351638","79.1137368064","78.7387412317","78.3536571116","77.9580717754","77.8859028309","77.8123717809","77.8404886023","77.8692231166","78.2011005925","78.5311691422","78.8594435151","79.1859383006","79.5106679304","79.8336466806","80.1548886738","80.1548886738","80.1548886738","75.1773482638","75.9828606641","76.5343068372","77.1173887142","77.6500597049","78.2138794084","77.0251914917","75.8723415993","75.3331827423","74.7679227277","74.1504458863","74.1504458863","","","",
"Central Europe and the Baltics","CEB","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.4416749784734","69.1815544974772","69.3025257585783","68.6657313036814","67.0445084730603","65.3059589127917","63.459429143713","63.2611536194904","","","",
"Switzerland","CHE","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.0580606544","37.3706244912","37.7215635638","37.026155087","37.0474982707","37.0688660745","36.3559226157","37.1331176335","36.8986106327","37.4359273066","","","",
"Channel Islands","CHI","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8969935929","10.4116811497","9.9731182796","9.5748603861","9.2115953804","8.8789053814","8.5730861563","8.2910086145","8.030011353","9.0841898236","10.0650652949","10.9800266312","11.8355019253","12.6371097432","13.3897826701","12.6280786565","11.8533665721","11.0649123366","10.2623470324","9.4452884176","8.6133403186","7.7660919903","6.9031174391","6.0239747093","5.1282051282","5.1282051282","5.1282051282","5.1282051282","5.1282051282","5.1282051282","","","",
"China","CHN","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","10.3065366386","9.4335814264","8.5924104898","7.781318969","6.9987217903","7.5188126221","8.0305580306","8.5343691419","9.0304290611","9.5189153023","10","12.6228358277","15.1597219535","17.6148150968","18.0754458088","18.5300470932","18.9787365637","19.4216287946","19.8588354185","20.2904652203","20.716624227","21.2179433631","21.7176881849","22.2158660965","22.7124844559","23.2075505748","23.5706769555","24.5580255558","24.127806563","23.7291026953","24.5171128431","24.382921948","23.6035140063","23.1322288215","22.6301735648","22.3206821602","21.654912089","21.1304894596","20.97248774","20.2218826812","17.7260919679","17.7260919679","","","",
"Cote d'Ivoire","CIV","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.0014104372","11.0014104372","11.0014104372","11.0014104372","13.9683703537","16.7673891428","19.4123335031","21.9155844156","21.3983722651","20.9047717414","20.43320206","19.9822204662","19.5505074915","19.1368540602","19.4365569846","19.7247706422","20.0021432781","20.2692752709","20.5267234702","20.5523916315","20.5942700813","20.6311535118","20.6586040502","20.6878156934","20.7189635351","20.7435632634","20.7833880426","20.82616179","20.82616179","20.82616179","20.82616179","20.82616179","20.82616179","20.82616179","20.82616179","","","",
"Cameroon","CMR","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.1919191919","19.1532258065","19.1151515152","19.0763052209","19.0383838384","19","15.9382965166","13.6770679468","11.9386838668","10.5605971897","9.4413129973","8.514185257","7.733642251","7.0674668874","7.6261606782","8.157998424","8.6648711043","9.1484962406","9.6104373392","9.6104373392","9.6104373392","9.6104373392","9.6104373392","9.6104373392","9.6104373392","9.6104373392","9.6104373392","9.6104373392","9.6104373392","9.6104373392","9.6104373392","9.6104373392","9.6104373392","9.6104373392","9.6104373392","","","",
"Congo, Dem. Rep.","COD","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.9981096408","19.477596946","19.9171962257","20.3216860788","20.6951111111","21.0409176511","21.1390728477","21.230966501","21.3171792482","21.3982220883","21.4745465184","21.4745465184","21.4745465184","21.4745465184","21.4745465184","21.4745465184","21.4745465184","21.4745465184","21.4745465184","21.4745465184","21.4745465184","21.4745465184","21.4745465184","21.4745465184","21.4745465184","21.4745465184","21.4745465184","","","",
"Congo, Rep.","COG","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","26.600660066","26.2091503268","25.8252427184","25.4487179487","25.0793650794","24.7169811321","24.3613707165","24.012345679","23.6697247706","23.3333333333","23.003003003","22.6785714286","22.3598820059","22.0467836257","21.7391304348","23.9520958084","25.283347864","26.1723009815","26.1723009815","26.1723009815","26.1723009815","26.1723009815","26.1723009815","26.1723009815","26.1723009815","26.1723009815","26.1723009815","26.1723009815","26.1723009815","26.1723009815","26.1723009815","26.1723009815","26.1723009815","26.1723009815","","","",
"Colombia","COL","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.634650142","7.2057464123","9.4815026425","11.5100430901","13.329575155","14.9708186614","16.4587543847","17.8139044554","19.0532846095","17.4640586006","16.2981007965","15.4061858587","14.7018586576","14.1315701753","13.6603820734","13.2645279611","13.3214285714","7.4380223663","1.440797156","1.204262956","1.1425451984","1.0938267903","","","",
"Comoros","COM","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","","","",
"Cabo Verde","CPV","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.7204301075","1.6474411481","1.6085748381","1.5844360937","1.4967056235","1.4379139831","1.395769732","1.3640790048","1.3393815791","1.3195926333","1.3033811346","1.2898574043","1.2784041873","1.2685797952","1.2600598289","1.2526006704","1.2460158114","1.2401600449","1.2349186323","1.7962512809","2.2005504957","","","",
"Costa Rica","CRI","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.6783386912","5.6379866612","6.3445016252","7.5166479659","7.8207266394","9.0163934426","7.4952459298","7.3024248844","7.4245594639","7.1178338091","","","",
"Caribbean small states","CSS","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.8614892124961","7.8614892124961","7.8614892124961","7.86148921249609","7.8614892124961","7.86148921249609","7.86148921249609","7.86148921249609","","","",
